1,Noto Sans SC Regular,Regular,NotoSansSC-Regular.otf,0,Noto Sans SC Regular,NotoSansSC-Regular,Noto Sans SC,3,Noto Sans SC Regular,NotoSansSC-Regular,Noto Sans SC,0,400,0,1611006215,0,536870915,719272976,22,0,0
2,Noto Sans,Regular,NotoSans-Regular.ttf,0,Noto Sans,NotoSans,Noto Sans,2,Noto Sans,NotoSans,0,400,0,536871327,3755409408,3758097151,0,0,0,,
3,Noto Sans Tibetan,Regular,NotoSansTibetan-Regular.ttf,0,Noto Sans Tibetan,NotoSansTibetan,Noto Sans Tibetan,2,Noto Sans Tibetan,NotoSansTibetan,0,400,0,1,0,0,0,64,0,,
4,Noto Sans CJK TC Medium,Regular,NotoSansCJKtc-Medium.otf,0,Noto Sans CJK TC Medium,NotoSansCJKtc-Medium,Noto Sans CJK TC Medium,2,Noto Sans CJK TC Medium,NotoSansCJKtc-Medium,0,500,0,1610612999,0,805306371,736050192,22,0,,
5,Noto Sans Telugu,Bold,NotoSansTelugu-Bold.ttf,0,Noto Sans Telugu,NotoSansTelugu-Bold,Noto Sans Telugu Bold,2,Noto Sans Telugu,NotoSansTelugu-Bold,0,700,262144,1,0,2097152,0,0,0,,
6,Noto Sans Thaana,Bold,NotoSansThaana-Bold.ttf,0,Noto Sans Thaana,NotoSansThaana-Bold,Noto Sans Thaana Bold,2,Noto Sans Thaana,NotoSansThaana-Bold,0,700,262144,1,0,0,0,256,0,,
7,Noto Sans Mono CJK KR Regular,Regular,NotoSansMonoCJKkr-Regular.otf,0,Noto Sans Mono CJK KR Regular,NotoSansMonoCJKkr-Regular,Noto Sans Mono CJK KR,3,Noto Sans Mono CJK KR Regular,NotoSansMonoCJKkr-Regular,Noto Sans Mono CJK KR,0,400,0,1073742081,0,805306371,736050192,22,0,
8,Noto Sans Tibetan,Bold,NotoSansTibetan-Bold.ttf,0,Noto Sans Tibetan,NotoSansTibetan-Bold,Noto Sans Tibetan Bold,2,Noto Sans Tibetan,NotoSansTibetan-Bold,0,700,262144,1,0,0,0,64,0,,
9,Noto Sans CJK KR DemiLight,Regular,NotoSansCJKkr-DemiLight.otf,0,Noto Sans CJK KR DemiLight,NotoSansCJKkr-DemiLight,Noto Sans CJK KR DemiLight,2,Noto Sans CJK KR DemiLight,NotoSansCJKkr-DemiLight,0,350,0,1073742081,0,805306371,736050192,22,0,,
10,Noto Sans Thai,Regular,NotoSansThai-Regular.ttf,0,Noto Sans Thai,NotoSansThai-Regular,Noto Sans Thai,2,Noto Sans Thai,NotoSansThai-Regular,0,400,0,65683,0,2164260963,8192,0,0,,
11,Noto Naskh Arabic,Bold,NotoNaskhArabic-Bold.ttf,0,Noto Naskh Arabic,NotoNaskhArabic-Bold,Noto Naskh Arabic Bold,2,Noto Naskh Arabic,NotoNaskhArabic-Bold,0,700,262144,65,524288,8192,2147483648,8,0,,
12,Noto Sans Cherokee,Regular,NotoSansCherokee-Regular.ttf,0,Noto Sans Cherokee,NotoSansCherokee,Noto Sans Cherokee,2,Noto Sans Cherokee,NotoSansCherokee,0,400,0,536871327,0,0,0,4096,0,,
13,Noto Sans CJK JP Regular,Regular,NotoSansCJKjp-Regular.otf,0,Noto Sans CJK JP Regular,NotoSansCJKjp-Regular,Noto Sans CJK JP,3,Noto Sans CJK JP Regular,NotoSansCJKjp-Regular,Noto Sans CJK JP,0,400,0,1610612999,0,805306371,736050192,22,0,
14,Noto Sans CJK JP Thin,Regular,NotoSansCJKjp-Thin.otf,0,Noto Sans CJK JP Thin,NotoSansCJKjp-Thin,Noto Sans CJK JP Thin,2,Noto Sans CJK JP Thin,NotoSansCJKjp-Thin,0,250,0,1610612999,0,805306371,736050192,22,0,,
15,Noto Sans CJK TC Thin,Regular,NotoSansCJKtc-Thin.otf,0,Noto Sans CJK TC Thin,NotoSansCJKtc-Thin,Noto Sans CJK TC Thin,2,Noto Sans CJK TC Thin,NotoSansCJKtc-Thin,0,250,0,536871175,0,805306371,736050192,22,0,,
16,Noto Sans SC Thin,Regular,NotoSansSC-Thin.otf,0,Noto Sans SC Thin,NotoSansSC-Thin,Noto Sans SC Thin,2,Noto Sans SC Thin,NotoSansSC-Thin,0,250,0,1611006215,0,536870915,719272976,22,0,,
17,Noto Sans Tai Le,Regular,NotoSansTaiLe-Regular.ttf,0,Noto Sans Tai Le,NotoSansTaiLe,Noto Sans Tai Le,2,Noto Sans Tai Le,NotoSansTaiLe,0,400,0,1,0,0,0,1073741824,0,,
18,Noto Sans Thaana,Regular,NotoSansThaana-Regular.ttf,0,Noto Sans Thaana,NotoSansThaana,Noto Sans Thaana,2,Noto Sans Thaana,NotoSansThaana,0,400,0,1,0,0,0,256,0,,
19,Noto Sans TC,Bold,NotoSansTC-Bold.ttf,0,Noto Sans TC,NotoSansTC-Bold,Noto Sans TC Bold,2,Noto Sans TC,NotoSansTC-Bold,0,700,262144,1611792647,0,536871043,719272976,22,0,,
20,Noto Sans TC Light,Regular,NotoSansTC-Light.ttf,0,Noto Sans TC Light,NotoSansTC-Light,Noto Sans TC Light,2,Noto Sans TC Light,NotoSansTC-Light,0,300,0,1611792647,0,536871043,719272976,22,0,,
21,Noto Sans TC,Regular,NotoSansTC-Regular.ttf,0,Noto Sans TC,NotoSansTC-Regular,Noto Sans TC,2,Noto Sans TC,NotoSansTC-Regular,0,400,0,1611792647,0,536871043,719272976,22,0,,
22,Noto Sans SC Medium,Regular,NotoSansSC-Medium.otf,0,Noto Sans SC Medium,NotoSansSC-Medium,Noto Sans SC Medium,2,Noto Sans SC Medium,NotoSansSC-Medium,0,500,0,1611006215,0,536870915,719272976,22,0,,
23,Noto Sans Thai,Bold,NotoSansThai-Bold.ttf,0,Noto Sans Thai,NotoSansThai-Bold,Noto Sans Thai Bold,2,Noto Sans Thai,NotoSansThai-Bold,0,700,262144,65683,0,2164260963,8192,0,0,,
24,Noto Serif Thai,Bold,NotoSerifThai-Bold.ttf,0,Noto Serif Thai,NotoSerifThai-Bold,Noto Serif Thai Bold,2,Noto Serif Thai,NotoSerifThai-Bold,0,700,262146,1,0,16777216,0,0,0,,
25,Noto Sans CJK KR Medium,Regular,NotoSansCJKkr-Medium.otf,0,Noto Sans CJK KR Medium,NotoSansCJKkr-Medium,Noto Sans CJK KR Medium,2,Noto Sans CJK KR Medium,NotoSansCJKkr-Medium,0,500,0,1073742081,0,805306371,736050192,22,0,,
26,Noto Sans Ethiopic,Bold,NotoSansEthiopic-Bold.ttf,0,Noto Sans Ethiopic,NotoSansEthiopic-Bold,Noto Sans Ethiopic Bold,2,Noto Sans Ethiopic,NotoSansEthiopic-Bold,0,700,262144,1,0,0,0,2048,0,,
27,Noto Sans,Bold,NotoSans-Bold.ttf,0,Noto Sans,NotoSans-Bold,Noto Sans Bold,2,Noto Sans,NotoSans-Bold,0,700,262144,536871327,3755409408,3758097151,0,0,0,,
28,Noto Serif Lao,Regular,NotoSerifLao-Regular.ttf,0,Noto Serif Lao,NotoSerifLao,Noto Serif Lao,2,Noto Serif Lao,NotoSerifLao,0,400,0,536871185,1090519040,33554432,0,0,0,,
29,Noto Sans TC Light,Regular,NotoSansTCLight.otf,0,Noto Sans TC Light,NotoSansTC-Light,Noto Sans TC Light,2,Noto Sans TC Light,NotoSansTC-Light,0,300,0,1611792647,0,536870915,719272976,22,0,,
30,Noto Sans Phags Pa,Regular,NotoSansPhagsPa-Regular.ttf,0,Noto Sans Phags Pa,NotoSansPhagsPa,Noto Sans Phags Pa,2,Noto Sans Phags Pa,NotoSansPhagsPa,0,400,0,1,0,0,2097152,0,0,,
31,Noto Sans Telugu,Regular,NotoSansTelugu-Regular.ttf,0,Noto Sans Telugu,NotoSansTelugu,Noto Sans Telugu,2,Noto Sans Telugu,NotoSansTelugu,0,400,0,1,0,2097152,0,0,0,,
32,Noto Sans Yi,Regular,NotoSansYi-Regular.ttf,0,Noto Sans Yi,NotoSansYi,Noto Sans Yi,2,Noto Sans Yi,NotoSansYi,0,400,0,1,0,0,0,524288,0,,
33,Noto Sans SC Bold,Regular,NotoSansSC-Bold.otf,0,Noto Sans SC Bold,NotoSansSC-Bold,Noto Sans SC Bold,2,Noto Sans SC Bold,NotoSansSC-Bold,0,700,262144,1611006215,0,536870915,719272976,22,0,,
34,Noto Sans Canadian Aboriginal,Regular,NotoSansCanadianAboriginal-Regular.ttf,0,Noto Sans Canadian Aboriginal,NotoSansCanadianAboriginal,Noto Sans Canadian Aboriginal,2,Noto Sans Canadian Aboriginal,NotoSansCanadianAboriginal,0,400,0,1,0,0,0,536879104,0,,
35,Noto Sans Khmer,Regular,NotoSansKhmer-Regular.ttf,0,Noto Sans Khmer,NotoSansKhmer,Noto Sans Khmer,2,Noto Sans Khmer,NotoSansKhmer,0,400,0,536871185,1090519040,0,0,65536,0,,
36,Noto Serif Khmer,Bold,NotoSerifKhmer-Bold.ttf,0,Noto Serif Khmer,NotoSerifKhmer-Bold,Noto Serif Khmer Bold,2,Noto Serif Khmer,NotoSerifKhmer-Bold,0,700,262146,1,0,2147483651,8283,65536,0,,
37,Noto Sans Syriac Eastern,Regular,NotoSansSyriacEastern-Regular.ttf,0,Noto Sans Syriac Eastern,NotoSansSyriacEastern,Noto Sans Syriac Eastern,2,Noto Sans Syriac Eastern,NotoSansSyriacEastern,0,400,2,540934497,3623813120,0,0,128,0,,
38,Noto Serif Thai,Regular,NotoSerifThai-Regular.ttf,0,Noto Serif Thai,NotoSerifThai,Noto Serif Thai,2,Noto Serif Thai,NotoSerifThai,0,400,2,1,0,16777216,0,0,0,,
39,Noto Sans Hebrew,Regular,NotoSansHebrew-Regular.ttf,0,Noto Sans Hebrew,NotoSansHebrew,Noto Sans Hebrew,2,Noto Sans Hebrew,NotoSansHebrew,0,400,0,33,2097152,2048,1073741824,0,0,,
